Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2024-08-01,439.6700134277344,440.6099853515625,430.95001220703125,431.80999755859375,3892300,0.0,0.0,BRK-B
2024-08-02,429.7699890136719,436.25,423.489990234375,428.3599853515625,4251500,0.0,0.0,BRK-B
2024-08-05,413.42999267578125,417.82000732421875,406.1099853515625,413.7200012207031,7695100,0.0,0.0,BRK-B
2024-08-06,416.4100036621094,427.4599914550781,415.1000061035156,422.1400146484375,5138700,0.0,0.0,BRK-B
2024-08-07,426.07000732421875,433.1700134277344,425.6000061035156,427.0199890136719,4745600,0.0,0.0,BRK-B
2024-08-08,429.239990234375,432.260009765625,427.6000061035156,431.5400085449219,3150000,0.0,0.0,BRK-B
2024-08-09,431.9200134277344,434.75,430.2099914550781,431.6700134277344,2602600,0.0,0.0,BRK-B
2024-08-12,434.1600036621094,434.1600036621094,429.010009765625,430.3900146484375,2376000,0.0,0.0,BRK-B
2024-08-13,431.8299865722656,432.80999755859375,425.8999938964844,432.4100036621094,3472000,0.0,0.0,BRK-B
2024-08-14,433.0,438.9800109863281,431.7099914550781,438.4700012207031,2860200,0.0,0.0,BRK-B
2024-08-15,441.79998779296875,442.5899963378906,438.7200012207031,440.8399963378906,3226400,0.0,0.0,BRK-B
2024-08-16,441.54998779296875,445.20001220703125,440.45001220703125,444.510009765625,3345000,0.0,0.0,BRK-B
2024-08-19,446.010009765625,450.45001220703125,445.7300109863281,448.7699890136719,3385300,0.0,0.0,BRK-B
2024-08-20,449.29998779296875,450.5,446.3800048828125,448.3599853515625,2906500,0.0,0.0,BRK-B
2024-08-21,449.8399963378906,451.2799987792969,443.8399963378906,446.6000061035156,3028500,0.0,0.0,BRK-B
2024-08-22,446.29998779296875,449.6000061035156,444.6499938964844,449.0299987792969,3502800,0.0,0.0,BRK-B
2024-08-23,450.0,453.7200012207031,448.80999755859375,453.3800048828125,2805400,0.0,0.0,BRK-B
2024-08-26,455.30999755859375,459.2699890136719,453.3399963378906,454.489990234375,3575800,0.0,0.0,BRK-B
2024-08-27,455.94000244140625,462.1000061035156,454.6199951171875,460.6300048828125,3764700,0.0,0.0,BRK-B
2024-08-28,461.1700134277344,466.6000061035156,460.7799987792969,464.5899963378906,4838100,0.0,0.0,BRK-B
2024-08-29,467.1099853515625,469.8500061035156,463.0,468.3699951171875,4459400,0.0,0.0,BRK-B
2024-08-30,470.5199890136719,476.95001220703125,470.0,475.9200134277344,7465800,0.0,0.0,BRK-B
2024-09-03,475.0,482.8900146484375,473.7200012207031,476.8299865722656,7511900,0.0,0.0,BRK-B
2024-09-04,478.67999267578125,484.82000732421875,474.2200012207031,478.57000732421875,5309400,0.0,0.0,BRK-B
2024-09-05,479.42999267578125,479.42999267578125,462.8800048828125,464.9200134277344,6213200,0.0,0.0,BRK-B
2024-09-06,463.82000732421875,468.1700134277344,458.54998779296875,459.4200134277344,4400300,0.0,0.0,BRK-B
2024-09-09,463.9700012207031,466.0,459.260009765625,459.6099853515625,4571000,0.0,0.0,BRK-B
2024-09-10,461.82000732421875,464.32000732421875,456.2099914550781,458.9200134277344,3544100,0.0,0.0,BRK-B
2024-09-11,457.6199951171875,457.6199951171875,445.25,453.1000061035156,5772700,0.0,0.0,BRK-B
2024-09-12,454.8399963378906,455.0,449.2699890136719,450.8699951171875,3855700,0.0,0.0,BRK-B
2024-09-13,451.5799865722656,452.42999267578125,447.2099914550781,447.6099853515625,3882600,0.0,0.0,BRK-B
2024-09-16,448.79998779296875,452.989990234375,448.3399963378906,451.7799987792969,3264400,0.0,0.0,BRK-B
2024-09-17,453.5,461.1000061035156,453.2900085449219,456.67999267578125,3824300,0.0,0.0,BRK-B
2024-09-18,458.0799865722656,459.8399963378906,454.8800048828125,456.6000061035156,3065200,0.0,0.0,BRK-B
2024-09-19,462.0,462.19000244140625,457.25,459.7099914550781,3891300,0.0,0.0,BRK-B
2024-09-20,457.760009765625,457.95001220703125,454.04998779296875,455.30999755859375,8468800,0.0,0.0,BRK-B
2024-09-23,457.30999755859375,459.6499938964844,453.4200134277344,454.9800109863281,3485100,0.0,0.0,BRK-B
2024-09-24,454.3299865722656,455.6000061035156,451.7699890136719,454.55999755859375,3009900,0.0,0.0,BRK-B
2024-09-25,454.8999938964844,455.80999755859375,451.2099914550781,452.3599853515625,2843300,0.0,0.0,BRK-B
2024-09-26,452.739990234375,457.0,451.3399963378906,454.17999267578125,3262000,0.0,0.0,BRK-B
2024-09-27,456.0400085449219,458.2699890136719,455.0400085449219,457.4700012207031,2728000,0.0,0.0,BRK-B
2024-09-30,458.3999938964844,460.6300048828125,454.54998779296875,460.260009765625,3631100,0.0,0.0,BRK-B
2024-10-01,459.1099853515625,459.7900085449219,454.82000732421875,457.4100036621094,3043700,0.0,0.0,BRK-B
2024-10-02,458.70001220703125,458.70001220703125,454.19000244140625,456.6700134277344,2803400,0.0,0.0,BRK-B
2024-10-03,455.4700012207031,455.9700012207031,450.9200134277344,452.9599914550781,2564700,0.0,0.0,BRK-B
2024-10-04,455.010009765625,462.17999267578125,453.80999755859375,461.9700012207031,3090200,0.0,0.0,BRK-B
2024-10-07,462.3399963378906,462.3399963378906,452.4100036621094,453.5,3222100,0.0,0.0,BRK-B
2024-10-08,455.9599914550781,457.55999755859375,452.8500061035156,453.79998779296875,2234100,0.0,0.0,BRK-B
2024-10-09,452.75,457.8800048828125,452.3599853515625,455.8999938964844,2206100,0.0,0.0,BRK-B
2024-10-10,457.5,457.510009765625,452.7200012207031,454.92999267578125,2375800,0.0,0.0,BRK-B
2024-10-11,455.8999938964844,463.45001220703125,455.8999938964844,460.2099914550781,3242000,0.0,0.0,BRK-B
2024-10-14,461.9200134277344,462.0,458.1000061035156,459.9800109863281,2969800,0.0,0.0,BRK-B
2024-10-15,460.989990234375,466.6600036621094,460.510009765625,462.67999267578125,3929900,0.0,0.0,BRK-B
2024-10-16,463.25,466.0,462.20001220703125,465.69000244140625,3166300,0.0,0.0,BRK-B
2024-10-17,466.1000061035156,467.8399963378906,464.2699890136719,465.8500061035156,2520900,0.0,0.0,BRK-B
2024-10-18,467.0,467.0,463.25,464.79998779296875,5635500,0.0,0.0,BRK-B
2024-10-21,464.5299987792969,465.7900085449219,461.67999267578125,464.1600036621094,3131500,0.0,0.0,BRK-B
2024-10-22,464.1099853515625,465.1499938964844,457.6000061035156,461.45001220703125,3315200,0.0,0.0,BRK-B
2024-10-23,460.1499938964844,463.260009765625,458.75,460.6099853515625,3655200,0.0,0.0,BRK-B
2024-10-24,460.8999938964844,461.04998779296875,453.9599914550781,457.7699890136719,3793500,0.0,0.0,BRK-B
2024-10-25,458.6000061035156,459.45001220703125,453.0299987792969,454.010009765625,2838900,0.0,0.0,BRK-B
2024-10-28,455.5899963378906,459.239990234375,455.0,458.489990234375,4103400,0.0,0.0,BRK-B
2024-10-29,458.6000061035156,458.9200134277344,454.3900146484375,454.6199951171875,3985200,0.0,0.0,BRK-B
2024-10-30,454.6700134277344,457.6700134277344,453.82000732421875,454.9599914550781,2692100,0.0,0.0,BRK-B
2024-10-31,455.19000244140625,456.8399963378906,450.57000732421875,450.9200134277344,3660300,0.0,0.0,BRK-B
2024-11-01,451.489990234375,455.1199951171875,450.70001220703125,452.1400146484375,2971300,0.0,0.0,BRK-B
2024-11-04,450.3699951171875,450.70001220703125,437.8999938964844,442.2900085449219,5733200,0.0,0.0,BRK-B
2024-11-05,442.2900085449219,445.2300109863281,441.1000061035156,445.05999755859375,3154400,0.0,0.0,BRK-B
2024-11-06,461.0,469.260009765625,459.4800109863281,468.8999938964844,6906800,0.0,0.0,BRK-B
2024-11-07,468.2699890136719,468.4599914550781,460.1000061035156,460.1300048828125,4238000,0.0,0.0,BRK-B
2024-11-08,461.9800109863281,466.3500061035156,459.5,463.4100036621094,3541300,0.0,0.0,BRK-B
